"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM","7.09222181545209e-08","0.000218941493316624","0.704975715167238","-0.917531438784174","-2.02275739854415","47","c(""HMGN2"", ""GAPDH"", ""ROMO1"", ""RPS19"", ""BCL2L1"", ""RPL30"")"
"2","GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","7.9499452910902e-08","0.000218941493316624","0.704975715167238","-0.628758424379972","-1.75793910660134","292","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-ATP6"", ""MT-CO3"", ""MT-CO2"", ""AURKAIP1"", ""TIMM13"", ""MT-ATP8"", ""MT-ND4"", ""NDUFA3"", ""MT-ND6"", ""MRPS16"", ""CYC1"", ""MT-ND1"", ""MRPL43"", ""ATP5MG"", ""MRPL12"", ""NDUFAB1"", ""ATP5MC1"", ""NDUFC1"", ""CHCHD1"", ""DNAJC19"", ""PPIF"", ""MRPL20"", ""COX6B1"", ""ROMO1"", ""TIMM8B"", ""ATP5MF"", ""NDUFB7"", ""ATP5F1E"", ""COX8A"", ""MT-ND3"", ""NDUFA11"", ""HSD17B10"", ""MRPL51"", ""MRPL41"", ""MRPS18C"", ""TOMM6"", ""NDUFS5"", ""TOMM40"", ""UQCR10"", ""MRPL40"", ""NDUFA7"", ""MRPS12"", ""NDUFA4"", ""NDUFV2"", ""TOMM5"", ""TOMM22"", ""COX7B"", 
""MRPS21"", ""UQCR11"", ""UQCRH"", ""COX5A"", ""NDUFB2"", ""MRPL13"", ""TIMM21"", ""MRPL28"", ""NDUFS8"", ""NDUFB3"", ""MT-ND4L"", ""MRPL4"", ""NDUFB10"", ""MRPS33"", ""GADD45GIP1"", ""MRPL49"", ""NDUFB9"", ""MRPL21"", ""SDHD"", ""BAX"", ""MRPS18B"", ""MRPL11"", ""COX6C"", ""UQCRQ"", ""MRPL18"", ""SUCLG1"", ""NDUFB1"", ""ATP5F1D"", ""MRPL23"", ""DNAJC15"", ""POLG"", ""MRPL48"", ""MRPL36"", ""TIMM10"", ""COX4I1"", ""UQCRHL"", ""NDUFS6"", ""NDUFB11"", ""IDH3B"", ""MRPL44"", ""MPC2"", ""TOMM7"", ""TIMM50"", ""PDK2"", ""PMPCA"", ""NDUFB8"", ""ATP5PF"", ""TRMT10B"", ""NDUFC2"", ""MRPL16"", ""NDUFS3"", 
""MRPS25"", ""MRPL9"", ""ATP5MC2"", ""ATP5PB"", ""BCKDHA"", ""IMMP1L"", ""MRPL38"", ""MRPL27"", ""TOMM20"", ""SUPV3L1"", ""NDUFA1"", ""HADHA"", ""TOMM70"", ""MRPL14"", ""SLC25A6"", ""MRPL24"", ""MRPS34"", ""COX7C"", ""SMDT1"", ""MRPL35"")"
"3","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","1.41478375001655e-07","0.000259754296503038","0.690132458796796","-0.749588556002167","-1.93049911859159","140","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""TMSB4X"", ""MT-ATP6"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP8"", ""MT-ND4"", ""CYC1"", ""ATP5MG"", ""ATP5MC1"", ""PPIF"", ""COX6B1"", ""ATP5MF"", ""ATP5F1E"", ""COX8A"", ""UQCR10"", ""ATP6V1F"", ""ATP1B1"", ""NDUFA4"", ""ATP6V0B"", ""COX7B"", ""UQCRH"", ""COX5A"", ""ATP5F1D"", ""COX4I1"", ""SLC25A22"", ""ATP6V0C"", ""ATP5PF"", ""SLC9B2"", ""ACTN4"", ""ATP5MC2"", ""SLC11A2"", ""ATP5PB"", ""CLCN3"", ""CYB5A"", ""TWIST1"", ""UCP2"")"
"4","GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","2.36785757169999e-07","0.000326053987623089","0.690132458796796","-0.857380347641624","-1.9998566038438","73","c(""HMGN2"", ""GAPDH"", ""ROMO1"", ""RPS19"", ""FAU"", ""CXCL8"", ""RPL39"", ""RPL30"")"
"5","GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE","2.58814154047638e-06","0.00232546629828114","0.627256739718528","-0.736685568005505","-1.86052234805847","117","c(""HMGN2"", ""GAPDH"", ""ROMO1"", ""RPS19"", ""PRSS3"", ""FAU"", ""HLA-E"", ""CXCL8"", ""RPL39"", ""RPL30"", ""WFDC2"", ""PLA2G6"")"
"6","GOBP_OXIDATIVE_PHOSPHORYLATION","3.54074766767892e-06","0.00232546629828114","0.627256739718528","-0.701805566984972","-1.81013454369426","141","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-ATP6"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP8"", ""MT-ND4"", ""NDUFA3"", ""MT-ND6"", ""CYC1"", ""MT-ND1"", ""ATP5MG"", ""NDUFAB1"", ""NDUFC1"", ""PPIF"", ""COX6B1"", ""ATP5MF"", ""NDUFB7"", ""ATP5F1E"", ""COX8A"", ""MT-ND3"", ""NDUFA11"", ""NDUFS5"", ""UQCR10"", ""NDUFA7"", ""NDUFA4"", ""NDUFV2"", ""COX7B"", ""UQCR11"", ""UQCRH"", ""COX5A"", ""NDUFB2"", ""SLC25A23"", ""NDUFS8"", ""NDUFB3"", ""MT-ND4L"", ""NDUFB10"", ""NDUFB9"", ""SDHD"", ""COX6C"", ""UQCRQ"", ""NDUFB1"", ""ATP5F1D"", ""DNAJC15"", ""COX4I1"", ""UQCRHL"", ""PDE12"", ""NDUFS6"", ""NDUFB11"", 
""DGUOK"", ""NDUFB8"", ""ATP5PF"", ""SDHAF2"", ""NDUFC2"", ""NDUFS3"", ""ATP5PB"", ""CCNB1"", ""COA6"", ""NDUFA1"", ""C2orf69"", ""COX7C"", ""NDUFA9"", ""STOML2"")"
"7","GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","3.50384478244103e-06","0.00232546629828114","0.627256739718528","-0.693631165392862","-1.80240036380065","150","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-ATP6"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP8"", ""MT-ND4"", ""NDUFA3"", ""MT-ND6"", ""CYC1"", ""MT-ND1"", ""ATP5MG"", ""NDUFAB1"", ""ATP5MC1"", ""NDUFC1"", ""DNAJC19"", ""COX6B1"", ""ROMO1"", ""ATP5MF"", ""NDUFB7"", ""ATP5F1E"", ""COX8A"", ""MT-ND3"", ""NDUFA11"", ""NDUFS5"", ""UQCR10"", ""NDUFA7"", ""NDUFA4"", ""NDUFV2"", ""COX7B"", ""UQCR11"", ""UQCRH"", ""COX5A"", ""NDUFB2"", ""TIMM21"", ""NDUFS8"", ""NDUFB3"", ""MT-ND4L"", ""NDUFB10"", ""NDUFB9"", ""SDHD"", ""COX6C"", ""UQCRQ"", ""NDUFB1"", ""ATP5F1D"", ""DNAJC15"", ""TIMM10"", ""COX4I1"", ""UQCRHL"", 
""NDUFS6"", ""NDUFB11"", ""MPC2"", ""TIMM50"", ""NDUFB8"", ""ATP5PF"", ""TRMT10B"", ""NDUFC2"", ""NDUFS3"", ""ATP5MC2"", ""ATP5PB"", ""IMMP1L"", ""NDUFA1"", ""SLC25A6"", ""COX7C"", ""SMDT1"", ""NDUFA9"")"
"8","GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","3.73458452519317e-06","0.00232546629828114","0.627256739718528","-0.540930506508826","-1.5613143534519","427","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ND4"", ""NDUFA3"", ""MT-ND6"", ""CYC1"", ""MT-ND1"", ""NDUFC1"", ""SEC61B"", ""COX6B1"", ""NDUFB7"", ""COX8A"", ""MT-ND3"", ""NDUFS5"", ""UQCR10"", ""NDUFA7"", ""ATP6V1F"", ""ATP1B1"", ""NDUFA4"", ""NDUFV2"", ""SLC25A1"", ""ATP6V0B"", ""COX7B"", ""UQCRH"", ""COX5A"", ""NDUFB2"", ""NDUFS8"", ""NDUFB3"", ""MT-ND4L"", ""NDUFB10"", ""NDUFB9"", ""NDUFB1"", ""COX4I1"", ""UQCRHL"", ""NDUFS6"", ""SLC25A22"", ""ATP6V0C"", ""ABCD3"", ""CYB561A3"", ""SLC8A1"", ""SLC20A2"", ""NDUFB8"", ""SLC9B2"", ""SLC38A2"", ""NDUFC2"", ""LETM1"", ""NDUFS3"", 
""SLC38A1"", ""ATP2A2"", ""SLC11A2"", ""SLC12A4"", ""CLCN3"", ""TOMM20"", ""CYB5A"", ""NDUFA1"", ""SLC25A6"", ""UCP2"", ""COX7C"", ""SLC4A2"", ""NDUFA9"", ""ATP6V0E2"", ""RALBP1"", ""SLC37A4"", ""SLC35D1"", ""TAP1"", ""SLC2A9"", ""SLC8B1"", ""TAP2"", ""SLC25A11"", ""SLC7A6"", ""SLC25A5"", ""NDUFB6"", ""SLC22A5"", ""SLC17A5"", ""ATP6V1C1"", ""SLC2A10"", ""MCU"")"
"9","GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","3.79978153313911e-06","0.00232546629828114","0.627256739718528","-0.676042742856644","-1.78596779231408","168","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ND4"", ""NDUFA3"", ""MT-ND6"", ""CYC1"", ""MT-ND1"", ""NDUFC1"", ""SEC61B"", ""COX6B1"", ""NDUFB7"", ""COX8A"", ""MT-ND3"", ""NDUFS5"", ""UQCR10"", ""NDUFA7"", ""ATP6V1F"", ""ATP1B1"", ""NDUFA4"", ""NDUFV2"", ""ATP6V0B"", ""COX7B"", ""UQCRH"", ""COX5A"", ""NDUFB2"", ""NDUFS8"", ""NDUFB3"", ""MT-ND4L"", ""NDUFB10"", ""NDUFB9"", ""NDUFB1"", ""COX4I1"", ""UQCRHL"", ""NDUFS6"", ""ATP6V0C"", ""ABCD3"", ""CYB561A3"", ""NDUFB8"", ""NDUFC2"", ""NDUFS3"", ""ATP2A2"", ""TOMM20"", ""CYB5A"", ""NDUFA1"", ""COX7C"", ""NDUFA9"", ""ATP6V0E2"", 
""RALBP1"")"
"10","GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT","1.1602191822809e-05","0.0040584974002308","0.593325476396405","0.673177636087952","1.51571253592869","275","c(""FN1"", ""KRAS"", ""IL1B"", ""ITGB1"", ""HIF1A"", ""TGM2"", ""HDAC2"", ""XRCC5"", ""KDM1A"", ""CAPRIN1"", ""STK25"", ""CLSTN1"", ""CDH4"", ""GOLGA4"", ""DBN1"", ""TPBG"", ""TGFB1"", ""DHX36"", ""PAFAH1B1"", ""PAK3"", ""ASPM"", ""SHTN1"", ""SERPINE2"", ""OBSL1"", ""VEGFA"", ""RAB21"", ""PLXNA2"", ""NAP1L1"", ""NRP1"", ""SEMA7A"", ""SNW1"", ""NRDC"", ""NIN"", ""PRKCI"", ""THBS2"", ""DICER1"", ""PLXND1"", ""MTOR"", ""RUFY3"", ""SLC7A5"", ""MECP2"", ""CAPRIN2"", ""HES1"", ""GLI3"", ""SEMA5A"", ""NGF"", ""STAU2"", ""AGRN"", ""SERPINF1"", ""CLCF1"", ""ROBO1"", ""IL6ST"", ""UFL1"", ""PPP1CC"", ""MAP2K2"", ""ADGRB3"", 
""EPHB2"", ""RELN"", ""SMURF1"", ""SRF"", ""PLXNA1"", ""SLITRK2"", ""NTN1"", ""PLXNA4"", ""FBXO31"", ""MAP2K1"", ""CUL7"", ""CTNNB1"", ""DAG1"", ""MAP1B"", ""MME"", ""MEGF8"", ""SRRT"", ""LIG4"", ""PAX6"", ""SS18L1"", ""EPHA4"", ""SYNDIG1"", ""CDKL5"", ""RHEB"", ""ANAPC2"", ""VEGFC"", ""PRKCH"", ""LIMK1"", ""NUMBL"", ""MAN2A1"", ""FZD4"", ""ZNF335"", ""TWF2"", ""BMPR2"", ""CDKL3"", ""SHOX2"", ""SLIT2"", ""TSPO"", ""IL1RAP"", ""EEF2K"", ""IST1"", ""LRP8"", ""CYFIP1"", ""WNT7A"")"
"11","GOCC_RESPIRASOME","8.71255290373287e-06","0.0040584974002308","0.593325476396405","-0.751317842183706","-1.84321550908917","97","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ND4"", ""NDUFA3"", ""MT-ND6"", ""CYC1"", ""MT-ND1"", ""NDUFAB1"", ""NDUFC1"", ""COX6B1"", ""NDUFB7"", ""COX8A"", ""MT-ND3"", ""NDUFA11"", ""RAB5IF"", ""NDUFS5"", ""UQCR10"", ""NDUFA7"", ""NDUFA4"", ""NDUFV2"", ""COX7B"", ""UQCR11"", ""UQCRH"", ""COX5A"", ""NDUFB2"", ""NDUFS8"", ""NDUFB3"", ""MT-ND4L"", ""NDUFB10"", ""NDUFB9"", ""SDHD"", ""COX6C"", ""UQCRQ"", ""NDUFB1"", ""COX4I1"", ""UQCRHL"", ""NDUFS6"", ""NDUFB11"", ""NDUFB8"", ""NDUFC2"", ""NDUFS3"", ""COA6"", ""NDUFA1"", ""C2orf69"", ""COX7C"", ""NDUFA9"")"
"12","GOCC_RIBOSOMAL_SUBUNIT","1.10884928791245e-05","0.0040584974002308","0.593325476396405","-0.643724755036606","-1.70198148975058","181","c(""RPS5"", ""AURKAIP1"", ""RPL28"", ""RPS24"", ""RPL8"", ""RPS11"", ""MRPS16"", ""MRPL43"", ""RPL13A"", ""MRPL12"", ""RPS26"", ""CHCHD1"", ""MRPL20"", ""UBA52"", ""RPS19"", ""RPS15"", ""RPS4X"", ""RPSA"", ""RPL35"", ""RPS9"", ""RPLP2"", ""MRPL51"", ""RPL36AL"", ""MRPL41"", ""MRPS18C"", ""RPS20"", ""RPS28"", ""RPL35A"", ""MRPL40"", ""MRPS12"", ""RPS2"", ""RPS10"", ""RPL22"", ""MRPS21"", ""MRPL13"", ""RPL34"", ""RPL26L1"", ""MRPL28"", ""RPL36"", ""MRPL4"", ""MRPS33"", ""GADD45GIP1"", ""RPS21"", ""RPLP0"", ""MRPL49"", ""RPL27A"", ""MRPL21"", ""MRPS18B"", ""MRPL11"", ""MRPL18"", ""EIF2A"", ""MRPL23"", 
""MRPL48"", ""MRPL36"", ""RACK1"", ""RPL21"", ""RPS17"", ""MRPL44"", ""RPL23"", ""FAU"", ""RPL24"", ""RPLP1"", ""RPL31"", ""RPS15A"", ""RPS27"", ""RPL39L"", ""MRPL16"", ""RPS25"", ""RPL39"", ""MRPS25"", ""MRPL9"", ""RPL30"", ""MRPL38"", ""RPL32"", ""RPS29"", ""MRPL27"", ""MRPL14"", ""MRPL24"", ""MRPS34"", ""RPS23"", ""MRPL35"", ""RPL11"")"
"13","GOCC_RIBOSOME","1.17893896883974e-05","0.0040584974002308","0.593325476396405","-0.615954402687345","-1.66480302115098","213","c(""RPS5"", ""AURKAIP1"", ""RPL28"", ""RPS24"", ""RPL8"", ""RPL22L1"", ""RPS11"", ""CANX"", ""MRPS16"", ""MRPL43"", ""RPL13A"", ""MRPL12"", ""RPS26"", ""CHCHD1"", ""MRPL20"", ""UBA52"", ""RPS19"", ""RPS15"", ""RPS4X"", ""RPSA"", ""RPL35"", ""RPS9"", ""RPLP2"", ""MRPL51"", ""RPL36AL"", ""SERP1"", ""MRPL41"", ""MRPS18C"", ""RPS20"", ""RPS28"", ""RPL35A"", ""MRPL40"", ""NDUFA7"", ""MRPS12"", ""RPS2"", ""RPS10"", ""RPL22"", ""MRPS21"", ""BTF3"", ""MRPL13"", ""APEX1"", ""RPL34"", ""RPL26L1"", ""MRPL28"", ""RPL36"", ""MRPL4"", ""MRPS33"", ""GADD45GIP1"", ""RPS21"", ""RPLP0"", ""MRPL49"", ""RPL27A"", ""MRPL21"", 
""MRPS18B"", ""MRPL11"", ""MRPL18"", ""EIF2A"", ""MRPL23"", ""MRPL48"", ""MRPL36"", ""RACK1"", ""RPL21"", ""RPS17"", ""MRPL44"", ""RPL23"", ""FAU"", ""RPL24"", ""RPLP1"", ""RPL31"", ""RPS15A"", ""RPS27"", ""RPL39L"", ""MRPL16"", ""RPS25"", ""RPL39"", ""MRPS25"", ""MRPL9"", ""RPL30"", ""MRPL38"", ""RPL32"", ""RPS29"", ""MRPL27"", ""MRPL14"", ""MRPL24"", ""MRPS34"", ""RPS23"", ""MRPL35"")"
"14","GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","1.05167486751142e-05","0.0040584974002308","0.593325476396405","0.638162852990247","1.46087499119688","420","c(""TOP1"", ""PRKDC"", ""PRKG1"", ""CDK6"", ""TRIO"", ""AKT3"", ""MARK3"", ""STK3"", ""PRKAA1"", ""CDK13"", ""CDK17"", ""RIOK3"", ""MAPK1"", ""STK25"", ""CDK1"", ""SRPK2"", ""PKN2"", ""STK4"", ""EGFR"", ""PRKD3"", ""PRKACB"", ""CSNK2A1"", ""MAP4K4"", ""PRKCA"", ""STK39"", ""GSK3B"", ""LATS2"", ""RPS6KA3"", ""CSNK1G3"", ""ROCK2"", ""PAK3"", ""CSNK1A1"", ""STK24"", ""MAP2K5"", ""AAK1"", ""MAPK8"", ""MAP3K7"", ""MKNK2"", ""STK10"", ""PAK1"", ""WNK1"", ""CASK"", ""PBK"", ""HIPK2"", ""CDC42BPB"", ""SMG1"", ""PRPF4B"", ""ATR"", ""CAMK4"", ""OXSR1"", ""PINK1"", ""TGFBR2"", ""EIF2AK2"", ""TBK1"", ""PRKCI"", ""BCKDK"", 
""MAP3K4"", ""ULK4"", ""MAST4"", ""CAMKK2"", ""SRPK1"", ""MTOR"", ""BRD2"", ""STK32B"", ""EIF2AK1"", ""VRK1"", ""MAPKAPK3"", ""PRKAA2"", ""LTBP1"", ""PPM1D"", ""CDC42BPA"", ""ERN1"", ""ALPK1"", ""STK16"", ""CSNK1G1"", ""CDC7"", ""LTBP4"", ""LMTK2"", ""BUB1B"", ""PRKAB2"", ""RPS6KA5"", ""SIK2"", ""CDK12"", ""TAOK3"", ""MAPK6"", ""TLK1"", ""PIKFYVE"", ""RIPK1"", ""MAP2K2"", ""MAST2"", ""CDK19"", ""VRK2"", ""TAF1"", ""LATS1"", ""KALRN"", ""ROCK1"", ""MAPK3"", ""PRKCD"", ""RPS6KC1"", ""SIK3"", ""PASK"", ""NEK4"", ""MINK1"", ""NEK3"", ""HIPK1"", ""PRKD2"", ""UHMK1"", ""BRD4"", ""MAP2K1"", ""DYRK4"", ""EIF2AK4"", 
""STK17A"", ""CDK10"", ""NEK6"", ""STK33"", ""CDKL1"", ""TNIK"", ""CLK4"", ""ACVR2A"", ""MAPKAPK2"", ""DYRK1A"", ""TGFBR1"", ""ATM"", ""STK38L"", ""CDK7"", ""CSNK1D"", ""MARK4"", ""ACVR2B"", ""ACVR1"", ""CDK5"", ""PAK2"", ""CDKL5"", ""CDK14"", ""MAPKAPK5"", ""PRKCH"", ""LIMK1"", ""DYRK2"", ""PKN1"", ""SPEG"", ""TTK"", ""PAK4"", ""RPS6KL1"", ""DSTYK"", ""RPS6KB1"", ""CHEK1"", ""RAF1"", ""BMPR2"", ""CDKL3"", ""MAP3K5"", ""STK36"", ""STK17B"", ""PDK3"", ""HIPK3"", ""CDK8"", ""CAMK2D"", ""RPS6KA2"", ""EEF2K"", ""MAP3K14"", ""KSR1"", ""CDK18"", ""ULK2"", ""TLK2"", ""GRK3"", ""TRPM7"", ""LRRK1"", ""SLK"", ""PRKCQ"", 
""PIK3CG"", ""TTBK2"", ""ADCK2"", ""PRKD1"", ""CDK9"", ""DCLK2"", ""CHUK"", ""PKN3"", ""GSK3A"", ""CCNK"", ""FASTK"", ""NEK9"", ""HTATIP2"", ""MAP4K5"", ""CSNK1G2"", ""ALPK2"", ""MAP3K21"", ""ULK3"", ""MARK1"", ""NRBP1"")"
"15","GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","1.07831267878302e-05","0.0040584974002308","0.593325476396405","-0.694825735418578","-1.79381557370839","138","c(""MT-CO1"", ""MT-CYB"", ""MT-ATP6"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP8"", ""CYC1"", ""ATP5MG"", ""ATP5MC1"", ""COX6B1"", ""ATP5MF"", ""ATP5F1E"", ""COX8A"", ""UQCR10"", ""ATP6V1F"", ""ATP6V0B"", ""COX7B"", ""UQCRH"", ""COX5A"", ""ATP5F1D"", ""COX4I1"", ""UQCRHL"", ""SLC25A22"", ""ATP6V0C"", ""ATP5PF"", ""SLC9B2"", ""LETM1"", ""ATP5MC2"", ""SLC11A2"", ""ATP5PB"", ""CYB5A"", ""UCP2"", ""COX7C"", ""ATP6V0E2"", ""ATP5F1A"")"
"16","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","9.75838201357785e-06","0.0040584974002308","0.593325476396405","-0.663656128677443","-1.73628055624108","162","c(""RPS5"", ""RPL28"", ""RPS24"", ""RPL8"", ""RPL22L1"", ""RPS11"", ""MRPS16"", ""MRPL43"", ""RPL13A"", ""MRPL12"", ""RPS26"", ""MRPL20"", ""UBA52"", ""RPS19"", ""RPS15"", ""RPS4X"", ""RPSA"", ""RPL35"", ""RPS9"", ""RPLP2"", ""MRPL51"", ""RPL36AL"", ""MRPL41"", ""MRPS18C"", ""RPS20"", ""RPS28"", ""RPL35A"", ""NDUFA7"", ""MRPS12"", ""RPS2"", ""RPS10"", ""RPL22"", ""MRPS21"", ""MRPL13"", ""RPL34"", ""RPL26L1"", ""MRPL28"", ""RPL36"", ""MRPL4"", ""MRPS33"", ""RPS21"", ""RPLP0"", ""MRPL49"", ""RPL27A"", ""MRPL21"", ""MRPS18B"", ""MRPL11"", ""MRPL18"", ""MRPL23"", ""MRPL36"", ""RPL21"", ""RPS17"", ""MRPL44"", 
""RPL23"", ""FAU"", ""RPL24"", ""RPLP1"", ""RPL31"", ""RPS15A"", ""RPS27"", ""RPL39L"", ""MRPL16"", ""RPS25"", ""RPL39"", ""MRPS25"", ""MRPL9"", ""RPL30"", ""RPL32"", ""RPS29"", ""MRPL27"", ""MRPL14"", ""MRPL24"", ""MRPS34"", ""RPS23"", ""MRPL35"", ""RPL11"")"
"17","GOMF_PROTEIN_SERINE_KINASE_ACTIVITY","1.34754550326484e-05","0.00436604743057807","0.593325476396405","0.652675005992328","1.48762069566005","360","c(""PRKDC"", ""PRKG1"", ""CDK6"", ""TRIO"", ""AKT3"", ""MARK3"", ""STK3"", ""PRKAA1"", ""CDK13"", ""CDK17"", ""RIOK3"", ""MAPK1"", ""STK25"", ""CDK1"", ""SRPK2"", ""PKN2"", ""STK4"", ""PRKD3"", ""PRKACB"", ""CSNK2A1"", ""MAP4K4"", ""PRKCA"", ""STK39"", ""GSK3B"", ""LATS2"", ""RPS6KA3"", ""CSNK1G3"", ""ROCK2"", ""PAK3"", ""CSNK1A1"", ""STK24"", ""MAP2K5"", ""AAK1"", ""MAPK8"", ""MAP3K7"", ""MKNK2"", ""STK10"", ""PAK1"", ""WNK1"", ""CASK"", ""PBK"", ""HIPK2"", ""CDC42BPB"", ""SMG1"", ""PRPF4B"", ""ATR"", ""CAMK4"", ""OXSR1"", ""PINK1"", ""EIF2AK2"", ""TBK1"", ""PRKCI"", ""MAP3K4"", ""ULK4"", ""MAST4"", ""CAMKK2"", 
""SRPK1"", ""MTOR"", ""STK32B"", ""EIF2AK1"", ""VRK1"", ""MAPKAPK3"", ""PRKAA2"", ""CDC42BPA"", ""ERN1"", ""ALPK1"", ""STK16"", ""CSNK1G1"", ""CDC7"", ""LMTK2"", ""BUB1B"", ""RPS6KA5"", ""SIK2"", ""CDK12"", ""TAOK3"", ""MAPK6"", ""TLK1"", ""PIKFYVE"", ""RIPK1"", ""MAP2K2"", ""MAST2"", ""CDK19"", ""VRK2"", ""TAF1"", ""LATS1"", ""KALRN"", ""ROCK1"", ""MAPK3"", ""PRKCD"", ""RPS6KC1"", ""SIK3"", ""PASK"", ""NEK4"", ""MINK1"", ""NEK3"", ""HIPK1"", ""PRKD2"", ""UHMK1"", ""MAP2K1"", ""DYRK4"", ""EIF2AK4"", ""STK17A"", ""CDK10"", ""NEK6"", ""STK33"", ""CDKL1"", ""TNIK"", ""CLK4"", ""MAPKAPK2"", ""DYRK1A"", ""ATM"", 
""STK38L"", ""CDK7"", ""CSNK1D"", ""MARK4"", ""CDK5"", ""PAK2"", ""CDKL5"", ""STK35"", ""CDK14"", ""MAPKAPK5"", ""PIK3CB"", ""PRKCH"", ""LIMK1"", ""DYRK2"", ""PKN1"", ""SPEG"", ""TTK"", ""PAK4"", ""RPS6KL1"", ""DSTYK"", ""RPS6KB1"", ""CHEK1"", ""RAF1"", ""CDKL3"", ""MAP3K5"", ""STK36"", ""STK17B"", ""HIPK3"", ""CDK8"", ""CAMK2D"", ""RPS6KA2"", ""MAP3K14"", ""KSR1"", ""CDK18"", ""ULK2"", ""TLK2"", ""TRPM7"", ""LRRK1"", ""SLK"", ""PRKCQ"", ""PIK3CG"", ""TTBK2"", ""PRKD1"", ""CDK9"", ""DCLK2"", ""PKN3"", ""GSK3A"", ""FASTK"", ""NEK9"", ""MAP4K5"", ""CSNK1G2"", ""NEK1"", ""ALPK2"", ""MAP3K21"", ""ULK3"", ""MARK1""
)"
"18","GOBP_CELLULAR_RESPIRATION","1.7951087443457e-05","0.00549303275769783","0.575610261071129","-0.583653750503167","-1.60897287712897","235","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-ATP6"", ""ETFB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP8"", ""MT-ND4"", ""NDUFA3"", ""MT-ND6"", ""CYC1"", ""MT-ND1"", ""ATP5MG"", ""NDUFAB1"", ""NDUFC1"", ""PPIF"", ""COX6B1"", ""ATP5MF"", ""NDUFB7"", ""ATP5F1E"", ""COX8A"", ""MT-ND3"", ""NDUFA11"", ""PRELID1"", ""NDUFS5"", ""UQCR10"", ""NDUFA7"", ""NDUFA4"", ""NDUFV2"", ""COX7B"", ""UQCR11"", ""UQCRH"", ""COX5A"", ""NDUFB2"", ""ARL2"", ""SLC25A23"", ""NDUFS8"", ""PLEC"", ""NDUFB3"", ""MT-ND4L"", ""NDUFB10"", ""NDUFB9"", ""SDHD"", ""COX6C"", ""UQCRQ"", ""BNIP3"", ""SUCLG1"", ""NDUFB1"", ""ATP5F1D"", ""DNAJC15"", 
""CAT"", ""COX4I1"", ""UQCRHL"", ""PDE12"", ""NDUFS6"", ""SLC25A22"", ""NDUFB11"", ""IDH3B"", ""ADSL"", ""DGUOK"", ""AIFM2"", ""NDUFB8"", ""ATP5PF"", ""ETFRF1"", ""SDHAF2"", ""CS"", ""NDUFC2"", ""NDUFS3"", ""ATP5PB"", ""CCNB1"", ""COA6"", ""NDUFA1"", ""MTFR1L"", ""C2orf69"", ""COX7C"", ""NDUFA9"", ""STOML2"", ""DLAT"", ""SLC25A14"", ""ATP5F1A"", ""POLG2"")"
