"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_RIBOSOMAL_SUBUNIT","4.37100939178602e-17",4.44925045989899e-13,"1.06720998682811","-0.823730126368852","-2.25170133854283","181","c(""AURKAIP1"", ""RPS5"", ""MRPL12"", ""MRPL21"", ""RPS26"", ""MRPL40"", ""MRPS18B"", ""RPL28"", ""MRPL43"", ""RPSA"", ""UBA52"", ""RPS19"", ""MRPL20"", ""MRPL51"", ""RPS15"", ""RPL13A"", ""RPL35"", ""MRPS18C"", ""RPL8"", ""RPS11"", ""MRPS21"", ""RPLP1"", ""RPS2"", ""RPS9"", ""RPL39L"", ""RPL34"", ""RPS24"", ""MRPL23"", ""RPS17"", ""GADD45GIP1"", ""RPL21"", ""RPLP2"", ""RPS28"", ""RPL22"", ""RPS20"", ""RPL35A"", ""RPL23A"", ""RPL31"", ""RPL24"", ""RPL13"", ""RPL36"", ""MRPS7"", ""MRPS12"", ""RPL27A"", ""RPS27L"", ""RPS15A"", ""RPS10"", ""RPS27"", ""RPS25"", ""RPL26L1"", ""RPS4X"", ""MRPL58"", ""MRPL37"", 
""RPL27"", ""CHCHD1"", ""MRPS17"", ""MRPL14"", ""RPS7"", ""MRPS23"", ""RPLP0"", ""RACK1"", ""RPS23"", ""RPL38"", ""FAU"", ""MRPL11"", ""RPL36A"", ""MRPL52"", ""RPS3"", ""RPL32"", ""RPL23"", ""RPL7"", ""MRPL36"", ""MRPL44"", ""RPL36AL"", ""MRPS11"", ""RPS12"", ""RPL18A"", ""MRPL41"", ""RPS14"", ""RPL30"", ""MRPS33"", ""RPL15"", ""MRPL18"", ""RPS8"", ""RPS21"", ""RPL18"", ""MRPS24"", ""RPS27A"", ""RPL41"", ""MRPL4"", ""RPS18"", ""RPL37A"", ""RPS16"", ""RPL19"", ""MRPL38"", ""MRPS2"", ""EIF2A"", ""RPL26"", ""MRPL13"", ""MRPS15"", ""RPL17"", ""IMP3"", ""MRPL16"", ""MRPL24"", ""RPL11"", ""RPL14"", ""RPS29"", 
""RPL6"", ""RPL39"", ""MRPL15"", ""MRPS25"", ""RPL37"", ""MRPL57"", ""FXR2"", ""MRPL9"", ""MRPS22"", ""MRPL50"", ""MRPL28"", ""RPS6"", ""MRPL48"", ""RPL4"", ""RPS13"", ""MRPL19"", ""MRPL39"", ""MRPL54"", ""MRPL42"", ""MRPL47"", ""RPL10A"", ""MRPL46"", ""MRPL17"")"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","1.10809677535496e-15",5.63965853816907e-12,"1.01754479730988","-0.730637728958329","-2.07498795411707","292","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""AURKAIP1"", ""MT-ATP8"", ""MRPL12"", ""MICOS10"", ""COX8A"", ""ATP5MC1"", ""ATP5MG"", ""MRPL21"", ""MRPL40"", ""MRPS18B"", ""NDUFB1"", ""NDUFA4"", ""ATP5MF"", ""MRPL43"", ""NDUFB11"", ""MT-ND4"", ""TIMM13"", ""ROMO1"", ""NDUFA3"", ""CYC1"", ""NDUFS5"", ""UQCR10"", ""MRPL20"", ""UQCRH"", ""MRPL51"", ""ATP5F1E"", ""ATP5PF"", ""NDUFB7"", ""MRPS18C"", ""NDUFAB1"", ""NDUFA11"", ""TOMM5"", ""MRPS21"", ""MT-ND6"", ""NDUFC1"", ""ATP5ME"", ""COX7B"", ""TOMM6"", ""COX5A"", ""NDUFS6"", ""COX6B1"", ""ATP5PB"", ""MRPL23"", ""TOMM7"", 
""NDUFC2"", ""GADD45GIP1"", ""SLC25A6"", ""COX5B"", ""TIMM8B"", ""ATP5MC3"", ""HSD17B10"", ""NDUFA13"", ""NDUFB6"", ""NDUFB2"", ""MT-ND3"", ""NDUFS7"", ""SLC25A5"", ""MRPS7"", ""NDUFB3"", ""MRPS12"", ""UQCRQ"", ""NDUFB5"", ""HADHA"", ""MRPL58"", ""NDUFB4"", ""NDUFB10"", ""MRPL37"", ""CHCHD1"", ""PPIF"", ""MRPS17"", ""MRPL14"", ""TOMM40"", ""UQCR11"", ""NDUFS8"", ""MRPS23"", ""MT-ND1"", ""NDUFA7"", ""COX7C"", ""MRPL11"", ""MRPL52"", ""MRPS36"", ""MRPL36"", ""MRPL44"", ""NDUFV2"", ""MRPS11"", ""MRPL41"", ""COX4I1"", ""ATP5F1A"", ""TIMM17A"", ""ISCU"", ""LYRM4"", ""MRPS33"", ""TIMM21"", ""NDUFA8"", 
""MRPL18"", ""COX6C"", ""COX6A1"", ""MRPS24"", ""SUCLG1"", ""MRPL4"", ""UQCRHL"", ""DNAJC19"", ""PDK2"", ""ATP5MC2"", ""TIMM50"", ""MRPL38"", ""MRPS2"", ""UQCRC1"", ""MRPL13"", ""NDUFS4"", ""MRPS15"", ""PHB2"", ""ATP5F1B"", ""MCCC2"", ""MRPL16"", ""MRPL24"", ""IDH3B"", ""NDUFA9"", ""BAX"", ""NDUFS2"", ""PAM16"", ""MRPL15"", ""BCS1L"", ""MRPS25"", ""COX7A2"", ""IDH3G"", ""MRPL57"", ""NDUFB9"", ""NDUFA6"", ""DNAJC11"", ""SDHB"", ""PDHX"", ""NDUFS3"", ""TOMM22"", ""CHCHD10"", ""MRPL9"", ""TOMM20"", ""UQCRB"", ""PNPT1"", ""PMPCA"", ""MRPS22"", ""ATP5PD"", ""IMMP1L"", ""APOO"", ""MRPL50"", ""MRPL28"")"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","2.34713125637796e-15",7.96381635289041e-12,"1.00731795687447","-0.826715621856696","-2.22677095353535","162","c(""RPS5"", ""RPL22L1"", ""MRPL12"", ""MRPL21"", ""RPS26"", ""MRPS18B"", ""RPL28"", ""MRPL43"", ""RPSA"", ""UBA52"", ""RPS19"", ""MRPL20"", ""MRPL51"", ""RPS15"", ""RPL13A"", ""RPL35"", ""MRPS18C"", ""RPL8"", ""RPS11"", ""MRPS21"", ""RPLP1"", ""RPS2"", ""RPS9"", ""RPL39L"", ""RPL34"", ""RPS24"", ""MRPL23"", ""RPS17"", ""RPL21"", ""RPLP2"", ""RPS28"", ""RPL22"", ""RPS20"", ""RPL35A"", ""RPL23A"", ""RPL31"", ""RPL24"", ""RPL13"", ""RPL36"", ""MRPS7"", ""MRPS12"", ""RPL27A"", ""RPS27L"", ""RPS15A"", ""RPS10"", ""RPS27"", ""RPS25"", ""RPL26L1"", ""RPS4X"", ""MRPL37"", ""RPL27"", ""MRPS17"", ""MRPL14"", ""RPS7"", 
""MRPS23"", ""RPLP0"", ""RPS23"", ""NDUFA7"", ""RPL38"", ""FAU"", ""MRPL11"", ""RPL36A"", ""MRPL52"", ""RPS3"", ""RPL32"", ""RPL23"", ""RPL7"", ""MRPL36"", ""MRPL44"", ""RPL36AL"", ""MRPS11"", ""RPS12"", ""RPL18A"", ""MRPL41"", ""RPS14"", ""RPL30"", ""MRPS33"", ""RPL15"", ""MRPL18"", ""RPS8"", ""RPS21"", ""RPL18"", ""MRPS24"", ""RPS27A"", ""RPL41"", ""MRPL4"", ""RPS18"", ""RPL37A"", ""RPS16"", ""RPL19"", ""MRPS2"", ""RPL26"", ""MRPL13"", ""MRPS15"", ""RPL17"", ""IMP3"", ""MRPL16"", ""MRPL24"", ""RPL11"", ""RPL14"", ""RPS29"", ""RPL6"", ""RPL39"", ""MRPL15"", ""MRPS25"", ""RPL37"", ""MRPL57"")"
"GOCC_CYTOSOLIC_RIBOSOME","4.08438415994532e-15",1.03937365910208e-11,"0.99698621753318","-0.902442888166056","-2.30295692773303","96","c(""RPS5"", ""RPS26"", ""RPL28"", ""RPSA"", ""UBA52"", ""RPS19"", ""RPS15"", ""RPL13A"", ""RPL35"", ""RPL8"", ""RPS11"", ""RPLP1"", ""RPS2"", ""RPS9"", ""RPL39L"", ""RPL34"", ""RPS24"", ""RPS17"", ""RPL21"", ""RPLP2"", ""RPS28"", ""RPL22"", ""RPS20"", ""RPL35A"", ""RPL23A"", ""RPL31"", ""RPL24"", ""RPL13"", ""RPL36"", ""RPL27A"", ""RPS27L"", ""RPS15A"", ""RPS10"", ""RPS27"", ""RPS25"", ""RPL26L1"", ""RPS4X"", ""RPL27"", ""RPS7"", ""RPLP0"", ""RACK1"", ""RPS23"", ""RPL38"", ""FAU"", ""RPL36A"", ""RPS3"", ""RPL32"", ""RPL23"", ""RPL7"", ""RPL36AL"", ""RPS12"", ""RPL18A"", ""RPS14"", ""RPL30"", ""RPL15"", ""RPS8"", 
""RPS21"", ""RPL18"", ""RPS27A"", ""RPL41"", ""RPS18"", ""RPL37A"", ""RPS16"", ""RPL19"", ""EIF2A"", ""RPL26"", ""RPL17"", ""RPL11"", ""RPL14"", ""RPS29"", ""RPL6"", ""RPL39"", ""RPL37"")"
"GOCC_RIBOSOME","3.62405636117449e-14",7.37785394007903e-11,"0.965327754226083","-0.768285590488676","-2.11672448494975","213","c(""AURKAIP1"", ""RPS5"", ""RPL22L1"", ""MRPL12"", ""MRPL21"", ""RPS26"", ""MRPL40"", ""MRPS18B"", ""RPL28"", ""MRPL43"", ""RPSA"", ""UBA52"", ""RPS19"", ""SERP1"", ""MRPL20"", ""MRPL51"", ""RPS15"", ""RPL13A"", ""RPL35"", ""MRPS18C"", ""RPL8"", ""RPS11"", ""MRPS21"", ""RPLP1"", ""RPS2"", ""RPS9"", ""RPL39L"", ""RPL34"", ""RPS24"", ""MRPL23"", ""RPS17"", ""GADD45GIP1"", ""RPL21"", ""RPLP2"", ""CANX"", ""RPS28"", ""RPL22"", ""RPS20"", ""RPL35A"", ""RPL23A"", ""RPL31"", ""BTF3"", ""RPL24"", ""RPL13"", ""RPL36"", ""MRPS7"", ""MRPS12"", ""RPL27A"", ""RPS27L"", ""RPS15A"", ""RPS10"", ""RPS27"", ""RPS25"", 
""RPL26L1"", ""RPS4X"", ""MRPL58"", ""MRPL37"", ""RPL27"", ""CHCHD1"", ""MRPS17"", ""MRPL14"", ""RPS7"", ""MRPS23"", ""RPLP0"", ""RACK1"", ""RPS23"", ""NDUFA7"", ""RPL38"", ""FAU"", ""MRPL11"", ""RPL36A"", ""MRPL52"", ""RPS3"", ""RPL32"", ""RPL23"", ""RPL7"", ""MRPL36"", ""MRPL44"", ""RPL36AL"", ""MRPS11"", ""RPS12"", ""RPL18A"", ""MRPL41"", ""RPS14"", ""RPL30"", ""MRPS33"", ""RPL15"", ""MRPL18"", ""RPS8"", ""RPS21"", ""RPL18"", ""MRPS24"", ""RPS27A"", ""RPL41"", ""MRPL4"", ""RPS18"", ""RPL37A"", ""RPS16"", ""RPL19"", ""MRPL38"", ""MRPS2"", ""EIF2A"", ""RPL26"", ""APEX1"", ""MRPL13"", ""MRPS15"", ""RPL17"", 
""IMP3"", ""MRPL16"", ""MRPL24"", ""RPL11"", ""RPL14"", ""RPS29"", ""RPL6"", ""RPL39"", ""MRPL15"", ""MRPS25"", ""RPL37"", ""MRPL57"", ""DNAJC21"", ""FXR2"", ""MRPL9"", ""PNPT1"", ""MRPS22"", ""MRPL50"", ""MRPL28"", ""RPS6"", ""MRPL48"", ""RPL4"", ""RPS13"", ""MRPL19"", ""MRPL39"", ""MRPL54"", ""MRPL42"", ""MRPL47"", ""RPL10A"", ""MRPL46"", ""MRPL17"")"
"GOBP_OXIDATIVE_PHOSPHORYLATION","6.36322095537152e-13",1.07952043507878e-09,"0.921426003494898","-0.824188236925629","-2.19436536676131","141","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-ATP8"", ""COX8A"", ""ATP5MG"", ""NDUFB1"", ""NDUFA4"", ""ATP5MF"", ""NDUFB11"", ""MT-ND4"", ""NDUFA3"", ""CYC1"", ""NDUFS5"", ""UQCR10"", ""CHCHD2"", ""UQCRH"", ""ATP5F1E"", ""ATP5PF"", ""NDUFB7"", ""NDUFAB1"", ""NDUFA11"", ""MT-ND6"", ""NDUFC1"", ""CYCS"", ""ATP5ME"", ""COX7B"", ""COX5A"", ""NDUFS6"", ""COX6B1"", ""ATP5PB"", ""NDUFC2"", ""COX5B"", ""CCNB1"", ""NDUFA13"", ""NDUFB6"", ""NDUFB2"", ""MT-ND3"", ""NDUFS7"", ""NDUFB3"", ""UQCRQ"", ""NDUFB5"", ""NDUFB4"", ""NDUFB10"", ""PPIF"", ""PARK7"", ""UQCR11"", ""NDUFS8"", 
""MT-ND1"", ""NDUFA7"", ""COX7C"", ""NDUFV2"", ""UQCC3"", ""COX4I1"", ""ATP5F1A"", ""DGUOK"", ""ISCU"", ""NDUFA8"", ""COX6C"", ""COX6A1"", ""RHOA"", ""UQCRHL"", ""UQCRC1"", ""NDUFS4"", ""ATP5F1B"", ""VCP"", ""C2orf69"", ""COA6"", ""NDUFA9"", ""SLC25A23"", ""NDUFS2"", ""PDE12"", ""COX7A2"", ""NDUFB9"", ""NDUFA6"", ""SDHB"", ""NDUFS3"", ""CHCHD10"", ""UQCRB"")"
"GOBP_AEROBIC_RESPIRATION","2.73013088960926e-12",3.97000033219038e-09,"0.898671232061694","-0.764922757372459","-2.09530664752277","189","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-ATP8"", ""COX8A"", ""ATP5MG"", ""NDUFB1"", ""NDUFA4"", ""ATP5MF"", ""NDUFB11"", ""MT-ND4"", ""NDUFA3"", ""CYC1"", ""NDUFS5"", ""UQCR10"", ""CHCHD2"", ""UQCRH"", ""ATP5F1E"", ""ATP5PF"", ""NDUFB7"", ""NDUFAB1"", ""NDUFA11"", ""MT-ND6"", ""NDUFC1"", ""CYCS"", ""ATP5ME"", ""COX7B"", ""COX5A"", ""NDUFS6"", ""COX6B1"", ""ATP5PB"", ""ARL2"", ""NDUFC2"", ""COX5B"", ""CCNB1"", ""NDUFA13"", ""NDUFB6"", ""NDUFB2"", ""MT-ND3"", ""NDUFS7"", ""NDUFB3"", ""UQCRQ"", ""NDUFB5"", ""NDUFB4"", ""NDUFB10"", ""PPIF"", ""PARK7"", ""UQCR11"", 
""NDUFS8"", ""MT-ND1"", ""BLOC1S1"", ""NDUFA7"", ""COX7C"", ""MRPS36"", ""NDUFV2"", ""UQCC3"", ""COX4I1"", ""ATP5F1A"", ""DGUOK"", ""ISCU"", ""MDH2"", ""NDUFA8"", ""COX6C"", ""COX6A1"", ""RHOA"", ""MTFR1L"", ""SUCLG1"", ""UQCRHL"", ""UQCRC1"", ""NDUFS4"", ""ATP5F1B"", ""VCP"", ""IDH3B"", ""C2orf69"", ""COA6"", ""NDUFA9"", ""SLC25A23"", ""NDUFS2"", ""CAT"", ""PDE12"", ""COX7A2"", ""IDH3G"", ""NDUFB9"", ""NDUFA6"", ""BNIP3"", ""SDHB"", ""NDUFS3"", ""CHCHD10"", ""UQCRB"", ""ATP5PD"", ""MDH1"", ""UQCC2"", ""ATP5PO"")"
"GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM","1.25835757458131e-11",1.60110271895789e-08,"0.875325132024659","-0.948449495239372","-2.14144278191468","47","c(""HMGN2"", ""ROMO1"", ""GAPDH"", ""RPS19"", ""BCL2L1"", ""RPL30"")"
"GOBP_CELLULAR_RESPIRATION","3.9738875278113e-11",3.82948114897424e-08,"0.851339057116899","-0.707921576477947","-1.97484809215541","235","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-ATP8"", ""COX8A"", ""ATP5MG"", ""NDUFB1"", ""NDUFA4"", ""ATP5MF"", ""NDUFB11"", ""MT-ND4"", ""ETFB"", ""NDUFA3"", ""CYC1"", ""NDUFS5"", ""PRELID1"", ""UQCR10"", ""CHCHD2"", ""UQCRH"", ""ATP5F1E"", ""ATP5PF"", ""NDUFB7"", ""NDUFAB1"", ""NDUFA11"", ""MT-ND6"", ""NDUFC1"", ""CYCS"", ""ATP5ME"", ""COX7B"", ""COX5A"", ""NDUFS6"", ""COX6B1"", ""ATP5PB"", ""ARL2"", ""NDUFC2"", ""COX5B"", ""CCNB1"", ""NDUFA13"", ""NDUFB6"", ""NDUFB2"", ""MT-ND3"", ""NDUFS7"", ""NDUFB3"", ""UQCRQ"", ""NDUFB5"", ""NDUFB4"", ""NDUFB10"", ""PPIF"", 
""PARK7"", ""UQCR11"", ""NDUFS8"", ""MT-ND1"", ""BLOC1S1"", ""NDUFA7"", ""COX7C"", ""MRPS36"", ""NDUFV2"", ""UQCC3"", ""COX4I1"", ""ATP5F1A"", ""DGUOK"", ""ISCU"", ""MDH2"", ""NDUFA8"", ""COX6C"", ""COX6A1"", ""RHOA"", ""MTFR1L"", ""SUCLG1"", ""PLEC"", ""UQCRHL"", ""ETFRF1"", ""UQCRC1"", ""NDUFS4"", ""ATP5F1B"", ""VCP"", ""IDH3B"", ""C2orf69"", ""COA6"", ""NDUFA9"", ""OPN3"", ""SLC25A23"", ""NDUFS2"", ""AIFM2"", ""CAT"", ""PDE12"", ""COX7A2"", ""IDH3G"", ""NDUFB9"", ""NDUFA6"", ""BNIP3"", ""SDHB"", ""NDUFS3"", ""CHCHD10"", ""UQCRB"", ""PNPT1"", ""ATP5PD"", ""MDH1"", ""PIK3CA"", ""UQCC2"", ""ATP5PO"", 
""MTLN"", ""SDHA"", ""SLC25A22"", ""COQ9"")"
"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","4.13835274965288e-11",3.82948114897424e-08,"0.851339057116899","-0.796776380164307","-2.11256561473711","140","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""TMSB4X"", ""MT-ATP8"", ""COX8A"", ""ATP5MC1"", ""ATP5MG"", ""NDUFA4"", ""ATP5MF"", ""MT-ND4"", ""CYC1"", ""UQCR10"", ""UQCRH"", ""ATP5F1E"", ""ATP5PF"", ""ATP5ME"", ""COX7B"", ""COX5A"", ""COX6B1"", ""ATP5PB"", ""COX5B"", ""ATP5MC3"", ""NDUFS7"", ""SLC25A5"", ""PPIF"", ""PARK7"", ""COX4I1"", ""ATP5F1A"", ""CYB5A"", ""ATP6V0E2"", ""ATP6V1F"", ""ATP5MC2"", ""UQCRC1"", ""ATP6V0C"", ""ATP6V0D1"", ""PHB2"", ""ATP6V0E1"", ""ATP5F1B"", ""ATP6V0B"", ""ATP6V1G1"", ""ACTN4"", ""TACO1"")"
"GOCC_RESPIRASOME","3.494723688222e-11",3.82948114897424e-08,"0.851339057116899","-0.853308071382269","-2.18512372589955","97","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""COX8A"", ""NDUFB1"", ""NDUFA4"", ""NDUFB11"", ""MT-ND4"", ""NDUFA3"", ""CYC1"", ""NDUFS5"", ""UQCR10"", ""UQCRH"", ""NDUFB7"", ""NDUFAB1"", ""NDUFA11"", ""MT-ND6"", ""NDUFC1"", ""CYCS"", ""COX7B"", ""COX5A"", ""NDUFS6"", ""COX6B1"", ""NDUFC2"", ""COX5B"", ""NDUFA13"", ""NDUFB6"", ""NDUFB2"", ""MT-ND3"", ""NDUFS7"", ""NDUFB3"", ""UQCRQ"", ""NDUFB5"", ""NDUFB4"", ""NDUFB10"", ""UQCR11"", ""NDUFS8"", ""MT-ND1"", ""NDUFA7"", ""COX7C"", ""NDUFV2"", ""COX4I1"", ""HIGD2A"", ""NDUFA8"", ""COX6C"", ""COX6A1"", ""UQCRHL"", ""UQCRC1"", ""NDUFS4"", 
""C2orf69"", ""HIGD1A"", ""COA6"", ""NDUFA9"", ""NDUFS2"", ""BCS1L"", ""RAB5IF"", ""COX7A2"", ""NDUFB9"", ""NDUFA6"", ""SDHB"", ""NDUFS3"", ""UQCRB"")"
"GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE","6.84107303920987e-11",5.35656018970133e-08,"0.839088935621274","-0.817504961023102","-2.12886232186583","117","c(""HMGN2"", ""ROMO1"", ""GAPDH"", ""RPS19"", ""PRSS3"", ""FAU"", ""RPL30"", ""WFDC2"", ""RPL39"", ""HLA-A"", ""CXCL1"", ""CXCL8"", ""CXCL14"", ""PLA2G6"", ""WFDC3"")"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS","6.57876399396845e-11",5.35656018970133e-08,"0.839088935621274","-0.653282578021564","-1.87073219024529","324","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-ATP8"", ""COX8A"", ""ATP5MG"", ""NDUFB1"", ""NDUFA4"", ""ATP5MF"", ""NDUFB11"", ""MT-ND4"", ""ETFB"", ""NDUFA3"", ""CYC1"", ""NDUFS5"", ""PRELID1"", ""UQCR10"", ""CHCHD2"", ""UQCRH"", ""ATP5F1E"", ""ATP5PF"", ""NDUFB7"", ""NDUFAB1"", ""NDUFA11"", ""MT-ND6"", ""NDUFC1"", ""CYCS"", ""ATP5ME"", ""COX7B"", ""COX5A"", ""NDUFS6"", ""COX6B1"", ""ATP5PB"", ""ARL2"", ""NDUFC2"", ""PPP1CA"", ""COX5B"", ""PTGES3"", ""CCNB1"", ""NDUFA13"", ""NDUFB6"", ""NDUFB2"", ""MT-ND3"", ""NDUFS7"", ""NDUFB3"", ""UQCRQ"", ""NDUFB5"", ""NDUFB4"", 
""NDUFB10"", ""PPIF"", ""PARK7"", ""UQCR11"", ""NDUFS8"", ""MT-ND1"", ""BLOC1S1"", ""NDUFA7"", ""COX7C"", ""MRPS36"", ""NDUFV2"", ""UQCC3"", ""PHLDA2"", ""COX4I1"", ""ATP5F1A"", ""DGUOK"", ""ISCU"", ""MDH2"", ""ACADVL"", ""NDUFA8"", ""COX6C"", ""COX6A1"", ""RHOA"", ""MTFR1L"", ""SUCLG1"", ""PLEC"", ""UQCRHL"", ""ETFRF1"", ""UQCRC1"", ""SELENOS"", ""NDUFS4"", ""ATP5F1B"", ""VCP"", ""IL6ST"", ""IDH3B"", ""C2orf69"", ""COA6"", ""NDUFA9"", ""OPN3"", ""SLC25A23"", ""NDUFS2"", ""AIFM2"", ""CAT"", ""PDE12"", ""STK40"", ""COX7A2"", ""IDH3G"", ""NDUFB9"", ""NDUFA6"", ""AKT1"", ""BNIP3"", ""SDHB"", ""NDUFS3"", 
""CHCHD10"", ""UQCRB"", ""IGF2"", ""PNPT1"", ""INPP5K"", ""ATP5PD"", ""MDH1"", ""PIK3CA"", ""UQCC2"", ""ATP5PO"", ""MTLN"", ""SDHA"", ""GSK3A"", ""SLC25A22"", ""COQ9"", ""GYG1"")"
"GOCC_LARGE_RIBOSOMAL_SUBUNIT","1.22967698174028e-10",8.94062999795307e-08,"0.826657301178302","-0.827434950572702","-2.15696434167386","111","c(""MRPL12"", ""MRPL21"", ""MRPL40"", ""RPL28"", ""MRPL43"", ""UBA52"", ""MRPL20"", ""MRPL51"", ""RPL13A"", ""RPL35"", ""RPL8"", ""RPLP1"", ""RPL39L"", ""RPL34"", ""MRPL23"", ""GADD45GIP1"", ""RPL21"", ""RPLP2"", ""RPL22"", ""RPL35A"", ""RPL23A"", ""RPL31"", ""RPL24"", ""RPL13"", ""RPL36"", ""RPL27A"", ""RPL26L1"", ""MRPL58"", ""MRPL37"", ""RPL27"", ""MRPL14"", ""RPLP0"", ""RPL38"", ""MRPL11"", ""RPL36A"", ""MRPL52"", ""RPL32"", ""RPL23"", ""RPL7"", ""MRPL36"", ""MRPL44"", ""RPL36AL"", ""RPL18A"", ""MRPL41"", ""RPL30"", ""RPL15"", ""MRPL18"", ""RPL18"", ""RPL41"", ""MRPL4"", ""RPL37A"", ""RPL19"", 
""MRPL38"", ""RPL26"", ""MRPL13"", ""RPL17"", ""MRPL16"", ""MRPL24"", ""RPL11"", ""RPL14"", ""RPL6"", ""RPL39"", ""MRPL15"", ""RPL37"", ""MRPL57"", ""FXR2"", ""MRPL9"", ""MRPL50"", ""MRPL28"", ""MRPL48"", ""RPL4"", ""MRPL19"", ""MRPL39"", ""MRPL54"", ""MRPL42"", ""MRPL47"", ""RPL10A"", ""MRPL46"", ""MRPL17"")"
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","5.48283383045925e-10",3.72065103734965e-07,"0.801215574617779","-0.878496578783999","-2.14052514627454","73","c(""HMGN2"", ""ROMO1"", ""GAPDH"", ""RPS19"", ""FAU"", ""RPL30"", ""RPL39"", ""CXCL1"", ""CXCL8"", ""CXCL14"")"
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","6.45939662571637e-10",4.10938739082294e-07,"0.801215574617779","-0.554849896322918","-1.6480971774918","496","c(""MT-ND5"", ""MT-CO1"", ""MT-CYB"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""EIF6"", ""MT-ATP8"", ""PKM"", ""COX8A"", ""ATP5MG"", ""NDUFB1"", ""NDUFA4"", ""ATP5MF"", ""NDUFB11"", ""ENO1"", ""MT-ND4"", ""TPI1"", ""ETFB"", ""NDUFA3"", ""GAPDH"", ""CYC1"", ""NDUFS5"", ""PRELID1"", ""UQCR10"", ""CHCHD2"", ""UQCRH"", ""ATP5F1E"", ""ATP5PF"", ""NDUFB7"", ""NDUFAB1"", ""NDUFA11"", ""MT-ND6"", ""NDUFC1"", ""CYCS"", ""ATP5ME"", ""COX7B"", ""COX5A"", ""NDUFS6"", ""COX6B1"", ""ATP5PB"", ""ARL2"", ""NDUFC2"", ""PPP1CA"", ""COX5B"", ""PTGES3"", ""CCNB1"", ""NDUFA13"", ""NDUFB6"", ""NDUFB2"", ""MT-ND3"", ""NDUFS7"", 
""GNPDA1"", ""NDUFB3"", ""UQCRQ"", ""NDUFB5"", ""MLST8"", ""NDUFB4"", ""NDUFB10"", ""AKR7A2"", ""PPIF"", ""PGK1"", ""PARK7"", ""UQCR11"", ""ATP5IF1"", ""PGD"", ""NDUFS8"", ""PGAM1"", ""GLRX2"", ""MT-ND1"", ""BLOC1S1"", ""NDUFA7"", ""COX7C"", ""MRPS36"", ""NDUFV2"", ""UQCC3"", ""IER3"", ""PHLDA2"", ""PPARD"", ""COX4I1"", ""ATP5F1A"", ""LDHA"", ""DGUOK"", ""ISCU"", ""MDH2"", ""ACADVL"", ""CYB5A"", ""NDUFA8"", ""COX6C"", ""COX6A1"", ""RHOA"", ""MTFR1L"", ""SUCLG1"", ""PLEC"", ""UQCRHL"", ""ETFRF1"", ""UQCRC1"", ""SELENOS"", ""NDUFS4"", ""PHB2"", ""ATP5F1B"", ""VCP"", ""IL6ST"", ""IDH3B"", ""C2orf69"", ""COA6"", 
""NDUFA9"", ""QDPR"", ""HK2"", ""OPN3"", ""SLC25A23"", ""TACO1"", ""NDUFS2"", ""AIFM2"", ""CAT"", ""PDE12"", ""STK40"", ""FDX1"", ""COX7A2"", ""IDH3G"", ""NDUFB9"", ""NDUFA6"", ""AKT1"", ""BNIP3"", ""SDHB"", ""FDXR"", ""NDUFS3"", ""CHCHD10"", ""UQCRB"", ""IGF2"", ""PNPT1"", ""INPP5K"", ""ATP5PD"", ""MDH1"", ""DEGS1"", ""EP300"", ""PIK3CA"", ""UQCC2"", ""ATP5PO"", ""MTLN"", ""SDHA"", ""GSK3A"", ""SLC2A6"", ""SLC25A22"", ""COQ9"", ""GYG1"", ""HAAO"")"
